,Unnamed: 0,Customer_name,Date,Rating,Review_Title,Review,Sentimens,normal
13,13,Agnes Tetlyana,Jan 2022,5.0,Short Escape @Melia Nusa Dua,"Everything is perfect, room, pool, staff, activity and nice view. Worth it banget deh nginep disini, aktivity nya banyak banget, apalagi kl bawa anak2 ke sini pasti happy, swimming poolnya luas, private beach, sepedaan, kano, catur, movie, panahan, etc anak2 ga bakalan bosen nginep disini. Dan pas bgt ada jadwal Yoga pagi harinya, ketemu temen baru yg ramah and coach Ian trainer kita yg friendly and sabar ngadepin ibu2😁 Nginep di Lagoon access yg poolnya bersih bgt, bener2 terawat pokoknya. Sarapan buffet very good disapa Mr. Sumartha yg ramah, all staff hospitality 👍👍 The last kita bs late check in sampai jam 2 siang, happy bgt krn pesawat kita malem jd bs stay longer di hotel. Thanks Melia will be back for sure with my family🥰❤️",Positive,everything is perfect room pool staff activity and bagus view worth it banget deh menginap sini aktivity nya banget kalau bawa anak2 bahagia swimming poolnya luas private beach sepeda kano catur movie panah et cetera anak2 tidak bosen menginap sini dan pas banget jadwal yoga pagi hari ketemu teman yang ramah and coach ian trainer yang friendly and sabar ngadepin ibu2 menginap lagoon access yang poolnya bersih banget bener2 awat pokok sarap buffet very bagus siapa mr sumartha yang ramah all staff hospitality the last bisa late check in jam siang bahagia banget karena pesawat malam jadi bisa stay longer hotel terima kasih melia will be back for sure with my family
14,14,lisbet s,Jan 2022,5.0,Selalu Merindukan Melia Nusa Dua,Seperti back home menginap di Hotel Melia Nusa Dua. Hampir semua staf ramah sekali. Proses check in cepat. Makanan ala carte nya lumayan tasty agak mahal tapi nice ga sia2 dengan rasanya. Garden dan kolam ikan nya nice...enak memandang sangat terawat. Banyak aktivitas anak anak dan aktivitas di pantai. Pantainya bersih. Hampir semua staf terlihat rajin bekerja sangat responsif. Semoga tetap terjaga keramahannya dan service nya tetap selalu excellent terhadap semua tamu tamu. Semoga tetap sukses. Anak2 selalu kangen ke Melia Nusa Dua. ,Positive,seperti back home inap hotel melia nusa dua hampir staf ramah sekali proses check in cepat makan ala carte nya lumayan tasty mahal bagus tidak sia2 rasa garden kolam ikan nya bagus enak pandang awat banyak aktivitas anak anak aktivitas pantai pantai bersih hampir staf rajin responsif moga jaga ramah service nya excellent tamu tamu moga sukses anak2 kangen melia nusa dua
15,15,Agus G,Jan 2022,4.0,Hotel tepi pantai yg bagus,"hotel tepi pantai yg bagus dengan taman yg luas dan tertata, kolam renang luas, sarapan variatif, ada  sarana pemainan anak kids clup, sepeda dll, ruangan perlu di upgrade karena room sudah kelihatan tua, staff ramah ",Positive,hotel tepi pantai yang bagus taman yang luas tata kolam renang luas sarap variatif sarana main anak kids clup sepeda dan lain-lain ruang upgrade room tua staff ramah
16,16,Joshlyn,Des 2021,5.0,Ulasan,"Hotelnya bagus, banyak fasilitas. Pegawainya juga ramah2. Ada Pegawai bernama SOMA baik, ramah, dan suka membantu. Selalu siap membantu dengan ramah. Terus tingkatkan lagi pelayanan dan kualitasnya...",Positive,hotel bagus fasilitas pegawai ramah2 ada pegawai nama soma baik ramah suka bantu selalu bantu ramah terus tingkat layan kualitas
17,17,CaseyAlselie,Des 2021,5.0,Hotel Melia Bali,"Hotel nya family banget.. Banyak Kids activity,  Family Room nya bgs, luas Staf hotel semuaaaa ramahhhh,  Resepsionis ramah,  Staf restauran very helpfull,  Staf Train driver baik dan ramah bgt,  Room Service dan Housekeeping fast respon.. Keren deh …",Positive,hotel nya family banget banyak kids activity family room nya bagus luas staf hotel semuaaaa ramahhhh resepsionis ramah staf restauran very helpfull staf train driver ramah banget room service housekeeping fast respon keren deh
18,18,Fransiska W,Des 2021,5.0,super happy day pass di Melia,"saya ambil daypass di Melia, super worth it banget, dan sangat menguntungkan karna bisa tuker credit makanan.  anak anak sangat puas sekali dengan smua fasilitas hotel, apalagi kids club activity nya. kids club nya sangat lengkap mulai dr indoor sampai outdoor.  anak saya sangat happy menikmati setiap kegiatan yg ada, mereka tour temple memakai baju adat bali, fish feeding, beach crab hunting, movie night with popcorn, dan yg paling seru bakar marshmalow di pantai.  di kids club bener bener terjamin bgt pendampingan nya, karna ada yg jagain, jd ortu bisa nikmatin fasilitas lain nya di saat anak dititipkan di kids club. thanks to miss Dani yg udh sabar bgt mendampingi Kenzo dan Kaylo pas di Melia seharian.  all staff are very humble, love you all, sukses trus Melia Hotel♥️",Positive,ambil daypass melia super worth it banget untung karena tuker credit makan anak anak puas semua fasilitas hotel kids club activity nya kids club nya lengkap dari indoor outdoor anak bahagia nikmat giat yang ada tour temple pakai baju adat bal fish feeding beach crab hunting movie night with popcorn yang seru bakar marshmalow pantai kids club benar benar jamin banget damping nya karena yang jagain jadi orang tua nikmatin fasilitas nya anak titip kids club terima kasih to miss dan yang sudah sabar banget damping kenzo kaylo pas melia hari all staff are very humble love you all sukses terus melia hotel
19,19,dita a,Des 2021,5.0,kids club,"mbo dani, resi, aci, terimakasih sekali sangat menyenangkan bermain disini.. seruuuuu.. bermain marshmellow bakar, painting clas, yoga dan movie time. sangat kids friendly. terimakasih sekali lagi melia bali..",Positive,mbo dan resi aci terimakasih senang main sini seruuuuu main marshmellow bakar painting clas yoga movie time kids friendly terimakasih melia bal
20,20,Sri Utami,Des 2021,5.0,Bermain di Kids Club Melia Hotel Bali,"Kids Club yang nyaman untuk bayi dan anak-anak. Petugas bernama Acik dan Dani yang ramah. Mohon maaf, si baby pipis di karpet tidak pakai pampers. Lain kali bertemu lagi. Sampai jumpa lagi. Semoga bisa jumpa lagi.",Positive,kids club nyaman bayi anak tugas nama acik dan ramah mohon maaf si baby pipis karpet pakai pampers lain kali temu lagi sampai jumpa lagi moga jumpa lagi
21,21,Amanda O,Des 2021,5.0,Very Nice Kids Club and Activity,"Kids Clubnya ok banget, Kak Resini sebagai PIC di Kids Clubnya baik dan sangat helpful. Activity di kids clubnya banyak dan bervariasi. Tiap jumat, sabtu dan minggu ada movie night dan setiap sore ada bakar marshmallow. Pas anak2 di kids club org tuanya bisa sport activity. Mulai dr tenis, kano, naik sepeda dan masih banyak lagi. Keamanan dan staffnya pun super ramah. Kalo mau honeymoon sambil bawa anak bisa banget. Super recommend for family vacation! Pasti balik lagi kalo nanti ke bali..",Positive,kids clubnya ok banget kak resin pic kids clubnya helpful activity kids clubnya variasi tiap jumat sabtu minggu movie night sore bakar marshmallow pas anak2 kids club orang tua sport activity mulai dari tenis kano sepeda lagi aman staffnya super ramah kalau honeymoon bawa anak banget super recommend for family vacation pasti kalau bal
22,22,Juki,Nov 2021,5.0,Recommend to stay for anyone,"Kamar yang nyaman dengan berbagai fasilitas yang bersih, nyaman dengan pelayanan yang ramah dari setiap karyawan hotel. Juga menyenangkan bagi anak anak karena terdapat beberapa aktifitas khusus anak anak di kids club. Pantai yang bersih juga menjadi value added yang harus di perhitungkan.",Positive,kamar nyaman fasilitas bersih nyaman layan ramah karyawan hotel juga senang anak anak aktifitas khusus anak anak kids club pantai bersih value added hitung
23,23,Sastradiputra,Nov 2021,5.0,Halloween party,"Pengalaman menikmati halloween bersama keluarga di Melia sangat menyenangkan. Anak-anak sangat happy. Sungguh pengalaman yg menyenangkan. Terima kasih utk Dayu di Kids club, pak irul yg sangat lucu. jg di kids klub, yang tampil sangat mengesankan dan menghibur bagi anak-anak dan keluarga. Terima kasih melia, tahun depan kami berencana joint halloween party lagi 😃",Positive,alam nikmat halloween keluarga melia senang anak bahagia sungguh alam yang senang terima kasih untuk dayu kids club irul yang lucu juga kids klub tampil kesan hibur anak keluarga terima kasih melia rencana joint halloween party
24,24,yosel,Okt 2021,5.0,holiday with family,"Saya sudah di hotel ini selama empat kali, dan memang seru, restaurant memiliki banyak pilihan, favorit saya adalah chiken nugget, disini juga banyak aktifitas, water Sport, kids club, fun wheels, soccer, bikes, Lagoon juga seru karena bisa berenang sama keluarga, terimakasih ke Kak Ian dan Alep karena sudah temenin main, akan kembali lagi kalau ada waktu!",Positive,saya hotel kali seru restaurant milik pilih favorit chiken nugget aktifitas water sport kids club fun wheels soccer bikes lagoon seru renang keluarga terimakasih kak ian alep temenin main waktu
25,25,Maria L,Okt 2021,5.0,Puasssss bangettt,"3 malam menginap di melia di tipe lagoon access. Fasilitas lengkap. Breakfast jg buffet. Selama pandemi, semua fasilitas hotel tetap dibuka. Bersih. Service TOP, sangat ramah. Sempat sepedaan, main kano, yoga dll. Kami sekeluarga sgt puas. Terima kasih semua team Melia.",Positive,malam inap melia tipe lagoon access fasilitas lengkap breakfast juga buffet lama pandemi fasilitas hotel buka bersih service top ramah sempat sepeda main kano yoga dan lain-lain kami keluarga sangat puas terima kasih team melia
26,26,oca,Sep 2021,5.0,The best place for staycation,"setelah rutinitas yg padat dalam seminggu yeyy finally bisa staycation di Melia Bali bareng keluarga, thank you bwt bu dayu dan tim dari entertaiment untuk sambutan dan pelayanan, disini juga sudah menerapkan prokes yang ketat, disini satu""nya hotel yang punya go cart jadi super seru kalo habisin waktu bareng keluarga❤️ we will back again, see you soon Melia Bali❤️",Positive,rutinitas yang padat minggu yeyy finally staycation melia bal bareng keluarga thank you buat bu dayu tim entertaiment sambut layan terap prokes ketat satu nya hotel go cart super seru kalau habisin bareng keluarga we will back again see you soon melia bal
27,27,Kumala Dewi,Sep 2021,5.0,Family time in Melia Bali,"Ini pertama kali saya bersama keluarga mengunjungi Melia Bali, banyak fasilitas yang meyenangkan disini sangat cocok untuk staycation. Disini juga bisa bermain canno, sepeda, renang, gym, pantomim, dan tentunya sudah menerapkan prokes yg ketat, terimakasih untuk ibu Dayu dan Pak Irul untuk keramahannya🙏💜 we will back again soon!",Positive,ini kali keluarga unjung melia bal fasilitas meyenangkan cocok staycation sini main canno sepeda renang gym pantomim terap prokes yang ketat terimakasih dayu pak irul ramah we will back again soon
28,28,noorbudi,Sep 2021,5.0,"Thanks a lot.. teman"" staff di melia hotel telah memberikan my family kepuasan dalam liburannya di Melia Bali see you next time","Puasss banget Best service kamar nyaman n bersih dengan room Lagoon access Junior suite (favorite my family) .. teman"" staff sangat baik ramah n perhatian terhadap tamu"" hotel makanan enakkk..(chef pak Putra), Over all excellent.. recommended hotel .. ",Positive,puasss banget best service kamar nyaman bersih room lagoon access junior suite favorite my family teman staff ramah perhati tamu hotel makan enakkk chef putra over all excellent recommended hotel
29,29,KELUARGA G,Sep 2021,5.0,Excellent 👍👍👍,"Sangat berkesan sekali untuk keramahan dan kepedulian semua team Hotel Melia, kami semua merasa senang dengan segala fasilitas yang disediakan oleh hotel, ada kids club', main kano main sepeda, kolam renang yg luas, fitness,anak"" jadi betah stay di hotel, dan terimakasih juga atas surprise birthday buat anak saya 🥰🥰🥰🎂🎂🎂 Pokoknya Happy, and excellent 👍👍👍👍👍 Recommended sekali Buat mereka yang ingin liburan ke Bali,,,,, Suatu hari nanti semoga kami bisa holiday lagi disini,,,,, salam dari kami semua famyli Sri Erni",Positive,sangat kesan ramah peduli team hotel melia senang fasilitas sedia hotel kids club main kano main sepeda kolam renang yang luas fitness anak betah stay hotel terimakasih surprise birthday anak pokok bahagia and excellent recommended buat libur bal suatu moga holiday sini salam famyli sri erni
30,30,sharon m,Sep 2021,5.0,Seruu,"Seru banget main disini even cuma ambil yg day pss. Kalo kesini harus ambil dr siang biar mainnya puas. Sempet main juga bareng ka ian and ka alep! Seru banget main basket ditemenin mereka diajak main game yang lain"" nya. Worth to try banget and next kalo kesini bakal nginep💖",Positive,seru banget main even ambil yang day pss kalau kesini ambil dari siang biar main puas sempat main bareng kakak ian and kakak alep seru banget main basket ditemenin ajak main game lain nya worth to try banget and lanjut kalau kesini menginap
31,31,yuli d,Agu 2021,5.0,So happy ❤❤,"Kita datang ke Melia Bali untuk join daypass with cabana dengan harga 600ribu. Dengan harga itu kita udah bisa gunain semua fasilitas yg ada dihotel Gym, archery, tenis, sepeda, pool dll. So happy banget 😍.  600k itu kita bisa spend buat FNB,kita enjou banget spend di Sateria Restaurant Thanks buat Ibu Astini & Aris for your service ❤❤❤",Positive,kita melia bal join daypass with cabana harga 600ribu dengan harga sudah gunain fasilitas yang hotel gym archery tenis sepeda pool dan lain-lain so bahagia banget 600k spend fnb kita enjou banget spend sateria restaurant terima kasih ibu astini aris for your service
32,32,gekayuwindansp,Agu 2021,5.0,Excellent,"Saya sangat senang stay di melia bali, semoga bisa berkunjung kembali kesana di suatu kesempatan, pelayanan sangat baik dan memuaskan, ruangan nyaman, tenang dan pegawainya ramah, sukses selalu melia bali",Positive,saya senang stay melia bal moga kunjung kesana sempat layan muas ruang nyaman tenang pegawai ramah sukses melia bal
33,33,Aua NFQ,Agu 2021,5.0,Melia bali,"Hotel yg bagus ,beautiful beach dan banyak aktifitas olahraga , nice bed beutiful villa , pirate nya seru banget kids club nya ramah dan seru , buat kak dayu  thx udh mau main² bareng kak ian jg thx!!!",Positive,hotel yang bagus beautiful beach aktifitas olahraga bagus bed beutiful villa pirate nya seru banget kids club nya ramah seru kak dayu terima kasih sudah main bareng kak ian juga terima kasih
34,34,Inalifu,Agu 2021,5.0,Weekend Family Party,"Kunjungan kami keluarga ke hotel Melia sangat memuaskan kami,karena stafnya begitu sopan dan baik terhadap kami,kunjungan kami keluarga ke melia dalam rangka merayakan hari ulang tahun anak kami,kami juga berterimakasih kepada staf yg sudah menyediakan banyak perlombaan dan games carnival yg buat anak anak senang,mereka pulang dengan kesan yg sangat menyenangkan,terimakasih juga buat pak Adrian yg sudah membantu anak-anak kami untuk dan temani mereka selama party kami,dan juga menemani kami untuk bersepeda bersama bahkan yang sudah mengambil foto bersama kami,pasti kami akan berkunjung lagi ke melia,karna tempatnya sangat bersih dan juga nyaman untuk kami,Melia sangat bagus pemandangan nya juga,sukses ke depan,harapan kami tetap pertahankan staf yg sudah bekerja dengan baik,",Positive,kunjung keluarga hotel melia muas kami karena staf sopan kami kunjung keluarga melia rangka raya ulang anak kami kami berterimakasih staf yang sedia lomba games carnival yang anak anak senang mereka pulang kesan yang senang terimakasih adrian yang bantu anak teman party kami dan tani sepeda ambil foto kami pasti kunjung melia karena tempat bersih nyaman kami melia bagus pandang nya juga sukses depan harap tahan staf yang baik
35,35,Dharma Wijaya,Agu 2021,5.0,weekend,"walaupun hotel tua, tetapi masih terawat dengan sangat bagus. gardennya juga sangat indah. kamar yang saya tempati kebetulan lagoon access, kamarnya langsung ada access ke kolam renang sehingga tidak perlu lelah berjalan ke main pool yang jaraknya lumayan jauh. malamnya saya menghabiskan makan malam di sateria beach restaurant. lautan yang indah serta makanan yang luar biasa enak menemani makan malam saya. ditambah lagi dengan pelayanan salah satu chef disana yaitu chef bayu yang dengan ramah membantu saya memilih makanan serta langsung membuatkannya. hal itu membuat makan malam saya menjadi makan malam terbaik. Amazing!!",Positive,hotel tua awat bagus gardennya indah kamar tempat lagoon access kamar langsung access kolam renang lelah jalan main pool jarak lumayan jauh malam habis makan malam sateria beach restaurant laut indah makan enak tani makan malam saya tambah layan salah chef sana chef bayu ramah bantu pilih makan langsung buat makan malam makan malam baik amazing
36,36,Monika B,Jul 2021,5.0,Definitely will come back again!,"Walaupun hotelnya uda tua. Tetapi saya sangat puas tinggal disini. Fasilitasnya lengkap dan bersih sampai ke pantai-pantainya. Anak-anak saya sangat suka dengan kids clubnya. Makanannya pun enak. Staff-staffnya juga ramah  especially Ms.Dayu, thank you for your excellent service. Definitely we will come back again.",Positive,walaupun hotel sudah tua tetapi puas tinggal sini fasilitas lengkap bersih pantai anak suka kids clubnya makan enak staff staffnya ramah especially ms dayu thank you for your excellent service definitely we will come back again
37,37,Ayu,Jul 2021,5.0,Hotel bagus dan staff yang ramah,Hotel yang bagus dan taman yang ditata dengan indah.. tempat yang sangat cocok untuk bersantai. Fasilitas sangat lengkap dan saya selalu datang untuk berolahraga. Tempat gym yang bersih dan staff yang selalu siap membantu. Terimakasih pak Irul dan semua staff.,Positive,hotel bagus taman tata indah cocok santa fasilitas lengkap olahraga tempat gym bersih staff bantu terimakasih irul staff
38,38,Sam,Jul 2021,5.0,Sangat memuaskan,"Hotel yg nyaman utk keluarga. Fasilitas lengkaap. Staff sangat ramah. Rencana menginap 1 malam utk istirahat, tp jadi menginap 1 minggu krn anak2 suka. 😊 & mgkn akan dtg lg utk menginap lbh lama lg 😊",Positive,hotel yang nyaman untuk keluarga fasilitas lengkaap staff ramah rencana inap malam untuk istirahat tapi inap minggu karena anak2 suka mungkin datang lagi untuk inap lbh lagi
39,39,Diana,Jun 2021,5.0,Perfect for family,"Menginap 2 malam pada tanggal 7-9 Desember 2020 di Lagoon Access Junior Suite Room. Proses check in dan check out sangat cepat, request late check out dan diacc. Saya request set up sofa bed dan trundle bed sebelum check in, dan saat masuk kamar sudah tertata rapi 👍 Awalnya khawatir pool yang bisa diakses langsung dari kamar crowded, karena infonya 1 row kamarnya dibuka semua (dan saat itu terisi semua). Tapi syukurlah saat itu tamu-tamunya aware dengan kondisi pandemi, jadi berenangnya bergantian tiap kamar, tidak ada yang berenang bersamaan, jadi merasa aman dan serasa kolam renang pribadi 😊 Hotelnya bukan bangunan baru, tapi masih sangat terawat dan kebersihannya sangat terjaga. Taman luas dan indah. Ada kafe di tepi pantai. Fasilitas buka semua, kami hanya coba kano.…",Positive,inap malam tanggal desember 2020 lagoon access junior suite room proses check in check out cepat request late check out diacc saya request set up sofa bed trundle bed check in masuk kamar tata rapi awal khawatir pool akses langsung kamar crowded informasi row kamar buka dan isi semua tapi syukur tamu aware kondisi pandemi renang ganti kamar renang sama aman serasa kolam renang pribadi hotel bangun baru awat bersih jaga taman luas indah ada kafe tepi pantai fasilitas buka semua coba kano
40,40,Kimmy S,Jun 2021,4.0,Nice place to stay,"Liburan bersama anak, kali ke 2 menginap di Melia, kamar kami diupgrade ke Junior Suite.  Fasilitasnya bnyk ada swiiming pool, fitness center, tennis, bulu tangkis, panahan,  by appointment. Kemudian kita bisa pinjam sepeda 1 jam free kliling ITDC, pantainya juga cantik, gabung dengan hotel.  Breakfast, cukup, ada nasi goreng, mie, american breakfast, bubur, buah, salad...cukup lah....  kamarnya nyaman.",Positive,libur anak kali inap melia kamar diupgrade junior suite fasilitas banyak swiiming pool fitness center tennis bulu tangkis panah by appointment kemudian pinjam sepeda jam free kliling itdc pantai cantik gabung hotel breakfast cukup nasi goreng mie american breakfast bubur buah salad cukup lah kamar nyaman
41,41,Widya Zulhamsyah,Jun 2021,5.0,Kerja sambil liburan,Mngnp di hotel melia bali snggh luar biasa tdk mengecewakan kesana dlm rangka kerja plus lbran bw anak dan anak ku happy bngt meski dtinggal krj dia bs eksplore hotel sndri dengan aman thanks mas dedi melia recomen nya,Positive,mngnp hotel melia bal snggh tidak kecewa kesana dalam rangka kerja plus lbran bawa anak anak ku bahagia bngt dtinggal krj bisa eksplore hotel sndri aman terima kasih mas dedi melia recomen nya
42,42,olivia wibowo,Jun 2021,5.0,Melia Bali seperti rumah kedua bagi saya dan keluarga,"dalam setahun terakir ini tiap kali ke bali saya selalu mampir dan wajib utk dtg ke melia bali. dan selalu extend karena anak2 tidak mau pulang. villa 1 2 3 membuat saya gagal move on apalagi dengan keramahan smua staff nya terutama ms dayu,pak dony, dan ms asih yang benar2 melayani dengan hati dan membuat kami nyaman seperti rumah kedua bagi kami. thank you melia bali",Positive,tahun terakir kali bal mampir wajib untuk datang melia bal extend anak2 pulang villa gagal move on ramah semua staff nya ms dayu pak dony ms asih benar2 layan hati nyaman rumah kami thank you melia bal
43,43,hennyclarence,Mei 2021,5.0,Excellent service,2 malam yg luar biasa. Memesan kamar standart dan dapat free upgrade junior suit lagoon. Kolam sangat indah. Anak2 sangat senang dengan kids club. Menonton film dengan mendapatkan free popcorn. Sarapan luar biasa.,Positive,malam yang biasa mes kamar standart free upgrade junior suit lagoon kolam indah anak2 senang kids club tonton film free popcorn sarap biasa
44,44,srherlaksitta,Mei 2021,5.0,Pelayanan terbaik yang saya dapatkan.,Saya kira pelayanan dari staff hotel mulai dari check in sampai check out melebihi ekspektasi saya. Staff sangat ramah dan sigap siap membantu jika ada kendala. Dalam masa pandemi protokol kesehatan sangat diterapkan! Semua bagian dari kamar telah disterilisasi. Pantai yang terjaga kebersihannya dan kolam renang yang terjaga pula membuat aktivitas kami menjadi lebih nyaman.,Positive,saya layan staff hotel check in check out lebih ekspektasi saya staff ramah sigap bantu kendala dalam pandemi protokol sehat terap semua kamar sterilisasi pantai jaga bersih kolam renang jaga aktivitas nyaman
45,45,Dwi jaya,Apr 2021,5.0,Day use,Kemarin saya day use di hotel melia bali. Saya di sambut dengan ramah oleh staffnya untuk pelayanannya sangat bagus dan harga juga sangat terjangkau. Cocok buat yang ingin liburan dengan suasana pantai,Positive,kemarin day use hotel melia bal saya sambut ramah staffnya layan bagus harga jangkau cocok libur suasana pantai
