,Customer_name,Date,Rating,Review_Title,Review,Sentimens
15,Agus G,Jan 2022,4.0,Hotel tepi pantai yg bagus,"hotel tepi pantai yg bagus dengan taman yg luas dan tertata, kolam renang luas, sarapan variatif, ada  sarana pemainan anak kids clup, sepeda dll, ruangan perlu di upgrade karena room sudah kelihatan tua, staff ramah ",Positive
16,Joshlyn,Des 2021,5.0,Ulasan,"Hotelnya bagus, banyak fasilitas. Pegawainya juga ramah2. Ada Pegawai bernama SOMA baik, ramah, dan suka membantu. Selalu siap membantu dengan ramah. Terus tingkatkan lagi pelayanan dan kualitasnya...",Positive
17,CaseyAlselie,Des 2021,5.0,Hotel Melia Bali,"Hotel nya family banget.. Banyak Kids activity,  Family Room nya bgs, luas Staf hotel semuaaaa ramahhhh,  Resepsionis ramah,  Staf restauran very helpfull,  Staf Train driver baik dan ramah bgt,  Room Service dan Housekeeping fast respon.. Keren deh …",Positive
18,Fransiska W,Des 2021,5.0,super happy day pass di Melia,"saya ambil daypass di Melia, super worth it banget, dan sangat menguntungkan karna bisa tuker credit makanan.  anak anak sangat puas sekali dengan smua fasilitas hotel, apalagi kids club activity nya. kids club nya sangat lengkap mulai dr indoor sampai outdoor.  anak saya sangat happy menikmati setiap kegiatan yg ada, mereka tour temple memakai baju adat bali, fish feeding, beach crab hunting, movie night with popcorn, dan yg paling seru bakar marshmalow di pantai.  di kids club bener bener terjamin bgt pendampingan nya, karna ada yg jagain, jd ortu bisa nikmatin fasilitas lain nya di saat anak dititipkan di kids club. thanks to miss Dani yg udh sabar bgt mendampingi Kenzo dan Kaylo pas di Melia seharian.  all staff are very humble, love you all, sukses trus Melia Hotel♥️",Positive
19,dita a,Des 2021,5.0,kids club,"mbo dani, resi, aci, terimakasih sekali sangat menyenangkan bermain disini.. seruuuuu.. bermain marshmellow bakar, painting clas, yoga dan movie time. sangat kids friendly. terimakasih sekali lagi melia bali..",Positive
20,Sri Utami,Des 2021,5.0,Bermain di Kids Club Melia Hotel Bali,"Kids Club yang nyaman untuk bayi dan anak-anak. Petugas bernama Acik dan Dani yang ramah. Mohon maaf, si baby pipis di karpet tidak pakai pampers. Lain kali bertemu lagi. Sampai jumpa lagi. Semoga bisa jumpa lagi.",Positive
21,Amanda O,Des 2021,5.0,Very Nice Kids Club and Activity,"Kids Clubnya ok banget, Kak Resini sebagai PIC di Kids Clubnya baik dan sangat helpful. Activity di kids clubnya banyak dan bervariasi. Tiap jumat, sabtu dan minggu ada movie night dan setiap sore ada bakar marshmallow. Pas anak2 di kids club org tuanya bisa sport activity. Mulai dr tenis, kano, naik sepeda dan masih banyak lagi. Keamanan dan staffnya pun super ramah. Kalo mau honeymoon sambil bawa anak bisa banget. Super recommend for family vacation! Pasti balik lagi kalo nanti ke bali..",Positive
22,Juki,Nov 2021,5.0,Recommend to stay for anyone,"Kamar yang nyaman dengan berbagai fasilitas yang bersih, nyaman dengan pelayanan yang ramah dari setiap karyawan hotel. Juga menyenangkan bagi anak anak karena terdapat beberapa aktifitas khusus anak anak di kids club. Pantai yang bersih juga menjadi value added yang harus di perhitungkan.",Positive
23,Sastradiputra,Nov 2021,5.0,Halloween party,"Pengalaman menikmati halloween bersama keluarga di Melia sangat menyenangkan. Anak-anak sangat happy. Sungguh pengalaman yg menyenangkan. Terima kasih utk Dayu di Kids club, pak irul yg sangat lucu. jg di kids klub, yang tampil sangat mengesankan dan menghibur bagi anak-anak dan keluarga. Terima kasih melia, tahun depan kami berencana joint halloween party lagi 😃",Positive
24,yosel,Okt 2021,5.0,holiday with family,"Saya sudah di hotel ini selama empat kali, dan memang seru, restaurant memiliki banyak pilihan, favorit saya adalah chiken nugget, disini juga banyak aktifitas, water Sport, kids club, fun wheels, soccer, bikes, Lagoon juga seru karena bisa berenang sama keluarga, terimakasih ke Kak Ian dan Alep karena sudah temenin main, akan kembali lagi kalau ada waktu!",Positive
25,Maria L,Okt 2021,5.0,Puasssss bangettt,"3 malam menginap di melia di tipe lagoon access. Fasilitas lengkap. Breakfast jg buffet. Selama pandemi, semua fasilitas hotel tetap dibuka. Bersih. Service TOP, sangat ramah. Sempat sepedaan, main kano, yoga dll. Kami sekeluarga sgt puas. Terima kasih semua team Melia.",Positive
26,oca,Sep 2021,5.0,The best place for staycation,"setelah rutinitas yg padat dalam seminggu yeyy finally bisa staycation di Melia Bali bareng keluarga, thank you bwt bu dayu dan tim dari entertaiment untuk sambutan dan pelayanan, disini juga sudah menerapkan prokes yang ketat, disini satu""nya hotel yang punya go cart jadi super seru kalo habisin waktu bareng keluarga❤️ we will back again, see you soon Melia Bali❤️",Positive
27,Kumala Dewi,Sep 2021,5.0,Family time in Melia Bali,"Ini pertama kali saya bersama keluarga mengunjungi Melia Bali, banyak fasilitas yang meyenangkan disini sangat cocok untuk staycation. Disini juga bisa bermain canno, sepeda, renang, gym, pantomim, dan tentunya sudah menerapkan prokes yg ketat, terimakasih untuk ibu Dayu dan Pak Irul untuk keramahannya🙏💜 we will back again soon!",Positive
28,noorbudi,Sep 2021,5.0,"Thanks a lot.. teman"" staff di melia hotel telah memberikan my family kepuasan dalam liburannya di Melia Bali see you next time","Puasss banget Best service kamar nyaman n bersih dengan room Lagoon access Junior suite (favorite my family) .. teman"" staff sangat baik ramah n perhatian terhadap tamu"" hotel makanan enakkk..(chef pak Putra), Over all excellent.. recommended hotel .. ",Positive
29,KELUARGA G,Sep 2021,5.0,Excellent 👍👍👍,"Sangat berkesan sekali untuk keramahan dan kepedulian semua team Hotel Melia, kami semua merasa senang dengan segala fasilitas yang disediakan oleh hotel, ada kids club', main kano main sepeda, kolam renang yg luas, fitness,anak"" jadi betah stay di hotel, dan terimakasih juga atas surprise birthday buat anak saya 🥰🥰🥰🎂🎂🎂 Pokoknya Happy, and excellent 👍👍👍👍👍 Recommended sekali Buat mereka yang ingin liburan ke Bali,,,,, Suatu hari nanti semoga kami bisa holiday lagi disini,,,,, salam dari kami semua famyli Sri Erni",Positive
30,sharon m,Sep 2021,5.0,Seruu,"Seru banget main disini even cuma ambil yg day pss. Kalo kesini harus ambil dr siang biar mainnya puas. Sempet main juga bareng ka ian and ka alep! Seru banget main basket ditemenin mereka diajak main game yang lain"" nya. Worth to try banget and next kalo kesini bakal nginep💖",Positive
31,yuli d,Agu 2021,5.0,So happy ❤❤,"Kita datang ke Melia Bali untuk join daypass with cabana dengan harga 600ribu. Dengan harga itu kita udah bisa gunain semua fasilitas yg ada dihotel Gym, archery, tenis, sepeda, pool dll. So happy banget 😍.  600k itu kita bisa spend buat FNB,kita enjou banget spend di Sateria Restaurant Thanks buat Ibu Astini & Aris for your service ❤❤❤",Positive
32,gekayuwindansp,Agu 2021,5.0,Excellent,"Saya sangat senang stay di melia bali, semoga bisa berkunjung kembali kesana di suatu kesempatan, pelayanan sangat baik dan memuaskan, ruangan nyaman, tenang dan pegawainya ramah, sukses selalu melia bali",Positive
33,Aua NFQ,Agu 2021,5.0,Melia bali,"Hotel yg bagus ,beautiful beach dan banyak aktifitas olahraga , nice bed beutiful villa , pirate nya seru banget kids club nya ramah dan seru , buat kak dayu  thx udh mau main² bareng kak ian jg thx!!!",Positive
34,Inalifu,Agu 2021,5.0,Weekend Family Party,"Kunjungan kami keluarga ke hotel Melia sangat memuaskan kami,karena stafnya begitu sopan dan baik terhadap kami,kunjungan kami keluarga ke melia dalam rangka merayakan hari ulang tahun anak kami,kami juga berterimakasih kepada staf yg sudah menyediakan banyak perlombaan dan games carnival yg buat anak anak senang,mereka pulang dengan kesan yg sangat menyenangkan,terimakasih juga buat pak Adrian yg sudah membantu anak-anak kami untuk dan temani mereka selama party kami,dan juga menemani kami untuk bersepeda bersama bahkan yang sudah mengambil foto bersama kami,pasti kami akan berkunjung lagi ke melia,karna tempatnya sangat bersih dan juga nyaman untuk kami,Melia sangat bagus pemandangan nya juga,sukses ke depan,harapan kami tetap pertahankan staf yg sudah bekerja dengan baik,",Positive
35,Dharma Wijaya,Agu 2021,5.0,weekend,"walaupun hotel tua, tetapi masih terawat dengan sangat bagus. gardennya juga sangat indah. kamar yang saya tempati kebetulan lagoon access, kamarnya langsung ada access ke kolam renang sehingga tidak perlu lelah berjalan ke main pool yang jaraknya lumayan jauh. malamnya saya menghabiskan makan malam di sateria beach restaurant. lautan yang indah serta makanan yang luar biasa enak menemani makan malam saya. ditambah lagi dengan pelayanan salah satu chef disana yaitu chef bayu yang dengan ramah membantu saya memilih makanan serta langsung membuatkannya. hal itu membuat makan malam saya menjadi makan malam terbaik. Amazing!!",Positive
36,Monika B,Jul 2021,5.0,Definitely will come back again!,"Walaupun hotelnya uda tua. Tetapi saya sangat puas tinggal disini. Fasilitasnya lengkap dan bersih sampai ke pantai-pantainya. Anak-anak saya sangat suka dengan kids clubnya. Makanannya pun enak. Staff-staffnya juga ramah  especially Ms.Dayu, thank you for your excellent service. Definitely we will come back again.",Positive
37,Ayu,Jul 2021,5.0,Hotel bagus dan staff yang ramah,Hotel yang bagus dan taman yang ditata dengan indah.. tempat yang sangat cocok untuk bersantai. Fasilitas sangat lengkap dan saya selalu datang untuk berolahraga. Tempat gym yang bersih dan staff yang selalu siap membantu. Terimakasih pak Irul dan semua staff.,Positive
38,Sam,Jul 2021,5.0,Sangat memuaskan,"Hotel yg nyaman utk keluarga. Fasilitas lengkaap. Staff sangat ramah. Rencana menginap 1 malam utk istirahat, tp jadi menginap 1 minggu krn anak2 suka. 😊 & mgkn akan dtg lg utk menginap lbh lama lg 😊",Positive
39,Diana,Jun 2021,5.0,Perfect for family,"Menginap 2 malam pada tanggal 7-9 Desember 2020 di Lagoon Access Junior Suite Room. Proses check in dan check out sangat cepat, request late check out dan diacc. Saya request set up sofa bed dan trundle bed sebelum check in, dan saat masuk kamar sudah tertata rapi 👍 Awalnya khawatir pool yang bisa diakses langsung dari kamar crowded, karena infonya 1 row kamarnya dibuka semua (dan saat itu terisi semua). Tapi syukurlah saat itu tamu-tamunya aware dengan kondisi pandemi, jadi berenangnya bergantian tiap kamar, tidak ada yang berenang bersamaan, jadi merasa aman dan serasa kolam renang pribadi 😊 Hotelnya bukan bangunan baru, tapi masih sangat terawat dan kebersihannya sangat terjaga. Taman luas dan indah. Ada kafe di tepi pantai. Fasilitas buka semua, kami hanya coba kano.…",Positive
40,Kimmy S,Jun 2021,4.0,Nice place to stay,"Liburan bersama anak, kali ke 2 menginap di Melia, kamar kami diupgrade ke Junior Suite.  Fasilitasnya bnyk ada swiiming pool, fitness center, tennis, bulu tangkis, panahan,  by appointment. Kemudian kita bisa pinjam sepeda 1 jam free kliling ITDC, pantainya juga cantik, gabung dengan hotel.  Breakfast, cukup, ada nasi goreng, mie, american breakfast, bubur, buah, salad...cukup lah....  kamarnya nyaman.",Positive
41,Widya Zulhamsyah,Jun 2021,5.0,Kerja sambil liburan,Mngnp di hotel melia bali snggh luar biasa tdk mengecewakan kesana dlm rangka kerja plus lbran bw anak dan anak ku happy bngt meski dtinggal krj dia bs eksplore hotel sndri dengan aman thanks mas dedi melia recomen nya,Positive
42,olivia wibowo,Jun 2021,5.0,Melia Bali seperti rumah kedua bagi saya dan keluarga,"dalam setahun terakir ini tiap kali ke bali saya selalu mampir dan wajib utk dtg ke melia bali. dan selalu extend karena anak2 tidak mau pulang. villa 1 2 3 membuat saya gagal move on apalagi dengan keramahan smua staff nya terutama ms dayu,pak dony, dan ms asih yang benar2 melayani dengan hati dan membuat kami nyaman seperti rumah kedua bagi kami. thank you melia bali",Positive
43,hennyclarence,Mei 2021,5.0,Excellent service,2 malam yg luar biasa. Memesan kamar standart dan dapat free upgrade junior suit lagoon. Kolam sangat indah. Anak2 sangat senang dengan kids club. Menonton film dengan mendapatkan free popcorn. Sarapan luar biasa.,Positive
44,srherlaksitta,Mei 2021,5.0,Pelayanan terbaik yang saya dapatkan.,Saya kira pelayanan dari staff hotel mulai dari check in sampai check out melebihi ekspektasi saya. Staff sangat ramah dan sigap siap membantu jika ada kendala. Dalam masa pandemi protokol kesehatan sangat diterapkan! Semua bagian dari kamar telah disterilisasi. Pantai yang terjaga kebersihannya dan kolam renang yang terjaga pula membuat aktivitas kami menjadi lebih nyaman.,Positive
45,Dwi jaya,Apr 2021,5.0,Day use,Kemarin saya day use di hotel melia bali. Saya di sambut dengan ramah oleh staffnya untuk pelayanannya sangat bagus dan harga juga sangat terjangkau. Cocok buat yang ingin liburan dengan suasana pantai,Positive
46,Hana fitria,Apr 2021,5.0,ulang tahun pernikahan,"Melia hotel nusa dua bali the best,sukaaa banget menginap disini, tempatnya nyaman , suana hotel yang asri, fasilitas lengkap, pelayanan memuaskan cocok sekali untuk refresh . Next berkunjung lagi🥰🥰👍",Positive
47,Filia P,Mar 2021,5.0,Rumah ke 2 kami,Stay di hotel ini slama 2 bulan lebih.. sudh berasa seperti rumah sendiri krna semua staf nya ramaah dan baik sekali Dear bu dayu bu sasih n friend's..big thanks buat ibuk2 di kidsclub yg udah bntuin dan ngejagain cica slama ini dengan sangat sabar dan perhatian.. dgan adany fasilitas kidsclub ini membuat kami smakin betah stay di melia.ga perlu worry ttg covid krna di kidsclub ini sangat menerapkan protokol covid19. Firsttime ikut NYEPI di bali..n stay di melia.. Seneng bget n seruu ikutin acra carnavalnya..  Next semoga kami bisa stay lg di melia.. Terimakasiii🙏🙏 ,Positive
48,selvimartharina,Mar 2021,4.0,Staycation,"All staff sangat ramah, untuk fasilitas lengkap, dan kebersihan kamarnya super oke. Cuma mungkin bisa lebih diperhatikan dan ditingkatkan untuk tambahan extra bed nya tidak enak (terlalu melengkung kedalam mungkin sudah terlalu tua). Tapi untuk overall menginap di Melia is a best choice.",Positive
49,hendralatif,Mar 2021,5.0,sangat baik dan luar biasa,"Saya menginap di melia selama 2 hari bersama keluarga (istri, anak, orang tua dan adik. Kami benar2 merasakan dan menikmati pelayanan dan fasilitas yg sangat baik. Staff dan team yg sangat ramah dan peduli ",Positive
50,Leoni,Feb 2021,5.0,Staycation,"Hotel luas, pelayanan ramah dan proses check in cepat. Anak paling happy main di kidsclub, penjaganya ramah dan ngemong. Apalagi ada movie night free popcorn.  Makanan buffet tapi diambilkan oleh petugas, lumayan banyak pilihan. Free main kano 1jam per hari, asik banget. Ada persewaan sepeda juga buat keliling pantai.  Dapat upgrade ke Lagoon access, puas berenang deh. Dapat surprise birthday cake yang super enakk,  thanks Melia Bali!",Positive
51,riananggiqueena,Feb 2021,5.0,Superb,"Seluruh pelayanan mulai dari saya tiba sampai saya check out, saya mendapatkan pelayanan yang bisa dibilang superb, staff yang super ramah. sungguh ini pelayanan yang terbaik yang pernah saya dapatkan.",Positive
52,Gaby M,Feb 2021,5.0,Lagoon Access Junior Suite,"Htl nya bagus... Kamar & lagoon nya juga bagus Ada lampu"" di lagoon nya jd di malam hari juga bagus Ada promo free upgrade juga ke Lagoon Suite sampai Juni 2021 Puas deh stay di Melia Nusa Dua Terima kasih 👍🙏😊",Positive
53,Syahrul Azmi,Feb 2021,5.0,Sangat memuaskan,"Staff yang ramah dan informatif juga sangat sigap, banyak watersport yang gratis di hotel ini, pantai yang bagus, kids friendly, ada kids club buat anak anak, sangat cocok untuk liburan membawa keluarga",Positive
54,Andro P,Feb 2021,5.0,Superb family hotel,"Hotelnya sangat bagus, terutama service dan fasilitasnya sangat baik... fasilitas untuk anak2 dari movie night,sepeda, tempat makan dan suasananya sangat baik. Sangat puas menginap di sini... saya akan kembali lagi",Positive
55,Hary W,Feb 2021,5.0,Hotel 5 terbaik pada zamannya,"Memang terasa bagusnya hotel ini. Hotel ini sudah ada dari awal pengembangan wilayah wisata nusa dua. Kamar hotel dengan akses langsung ke kolam renang. Air kolam renang tidak terasa dingin sehibgga cocok untuk berenag kapan saja. Pantai yang bersih dan terawat cocok untuk bersantai sambil makan atau minum. Malam hari lebih terasa suasana santainya di pantai dengan live musik dan lampu lampu juga api unggunnya.  Area hotel cukup luas mencakup taman, kolam renang, pantai, kids zone, dll. Kita dapat meminjam sepeda dan kano. Untuk lari dan jalan pagi atau sore bisa memytari area hotel atau menelusuri jalur pantai.  Pelayanan ramah yang selalu menyambut tamu. Breakfast enak dan menu yg selalu berganti setiap hari membuat tamu yang long stay tidak bosan. Rotinya almondnya enak…",Positive
56,anafmelissa,Feb 2021,5.0,Memuaskan,"Sangat menyenangkan menginap disini. Staffnya ramah, friendly dan pelayanan tidak kaku. Tempatnya nyaman dan bersih. I really enjoy the hotel. Dekaat dengan laut. Saya akan kembali menginap disini.. Terimakasi melia",Positive
57,Kadek Dina,Jan 2021,4.0,Liburan sehat,"Staff ramah dan sangat perhatian Kamar bersih Protokol kesehatan dan keamanan sangat diperhatikan Aktivitasnya lengkap mulai dari kids play., bersepeda dll  Bapak sumartha dkk Terima kasih telah memberikan service terbaik",Positive
58,Sabrina Elsa,Jan 2021,5.0,Liburan Kala Pandemi,"Melia Bali nggak mengecewakan sama sekali, lebih dari ekspektasi kata aku mah. Pelayanannya dua jempol, banyak sekali kegiatan yang bisa aku lakuin di hotel ini, dari canoeing, sepedaan keliling ITDC seru sekali pokoknya. Dan kebetulan banget aku di Junior Lagoon Access dan suka banget, kamarnya gede ada sofa bed nya apalagi balcony nya nyambung ke pool nya very happy lah stay disini. Untuk sarapannya walopun buffets tp kita boleh nambah sampe kenyang dan selalu ditanyain apa yg kita mau, mau nambah apa, suka pokoknya sama pelayanan di Melia. Dan emang aku lagi cari hotel yang beach front dan kemana mana juga takut, jadi cari yang banyak kegiatan di hotel tsb. Semoga aku bisa kesini lagi, thanks Melia 💜",Positive
59,Berthus Yap,Jan 2021,5.0,Bisnis Man,"Saya Stay yg pertama kalinya di Melia bali Nusa Dua , Meskipun Hotelnya sudah Tua tapi khusus Kamar Akses Lagoon Pool nya bagus sekali , Garden yg luas dengan langsung akses pantai nusa dua membuat saya enjoy menikmati holiday , dengan protokoler Covid yg sangat baik dan pelayanan staff yg luar biasa dan tentunya Brrakfast nya mantaabbb bangett ...recomended salah satu hotel di area nusa dua , thank you Melia Bali semoga saya bisa kembali lagi",Positive
60,anna maria,Jan 2021,5.0,Holliday,"Tempat menginap yang nyaman,  bersi h,  dekat pantai lagi,  staf staf yang ramah, makanannya juga uenakkk, suasananya yang dekat pantai makin nambah indah untuk di kunjungi,  apalagi sunrise nya mantap 😃😃😃😃😃😃",Positive
61,Malaica M,Jan 2021,5.0,Very satisfied stay with 2 children in Melia,"Senang sekali tinggal di Melia. Pelayanan baik, makanan ok, banyak aktivitas untuk anak-anak maupun orang dewasa. Menyediakan extra beds untuk 2 anak kami. Pokoknya hepi banget. Bisa bersepeda, canoeing, burning marshmallow, outdoor movie watching. Thank you, Melia!",Positive
62,bastianchayadi,Des 2020,3.0,Protokol kesehatan,"Pertama datang, semua protokol kesehatan baik. Begitu beberapa hari tinggal, dan tamu mulai banyak....protokol kesehatan nya menjadi berantakan. Interior kamar dan furniture sudah mulai tua, perlu ada perbaikan dan renovasi ulang.",Negative
63,destyadelina,Des 2020,5.0,"Nyaman, aman dan full service","Awal nginep disini reservasi saya di bantu oleh marketing Melia lansung dg Jegeg Mita, beliau sangat cepat tanggap, sebelumnya matur suksma jegeg Mita. Dan pengalaman pertama nginep disini tuh SANGAT memuaskan, apalagi buat keluarga yang membawa anak kecil dimasa pandemi saat ini yang sekalian workcation karena wifi nya kenceng bangeeet (hahaha) di depan kamar kita juga dikasih tulisan selamat datang gitu pakai pasir dan di dalam kamar juga udah disediain cake untuk merayakan Wedding Anniversary kita hihi Oia don't worry yaa buat nginep disini karena dari sesampai nya kita ke kawasan Nusa Dua aja, kita itu udah diminta untuk mengikuti protokol kesehatan mulai dari cek suhu tubuh, cek bagasi mobil, di cek juga mau nginep dimana. Trus pas sampai dihotel nya juga kita di cek suhu…",Positive
64,I wayan rudi,Des 2020,5.0,Merayakan ulang tahun bersama keluarga,Pengalaman yang luat biasa bersama keluarga. Tempat yang nyaman untuk liburan. staff juga sangat friendly view laut yang indah dan kolamn renang nya banyak dan  garden yang sangat terluas se yg pernah saya lihat,Positive
65,TheresaMi,Des 2020,5.0,Holiday saat Pandemi,Holiday dan tinggal di Melia Bali saat pandemi Covid19 sangat memuaskan dan aman. Melia Bali memberikan Prokes yang sangat baik. Membuat kami sebagai pengunjung nya merasa tenang. Dan support diberikan contohnya: kami harus pergi pagi2 untuk penyeberangan ke Nusa Penida dan kami membutuhkan sarapan pagi lebih cepat. Melia provide sarapan pagi sesuai waktu yang dijanjikan. Dan sarapannya memuaskan. Terima kasih Melia Bali.,Positive
66,Lizt_rainbow,Des 2020,4.0,Liburan keluarga,"Menyenangkan, karena hotel dilengkapi fasilitas kids klub, anak2 sangat suka dengan kegiatan2 kids klub, terutama bakar marshmellow dan menonton film. Anak2 juga suka dengan fasilitas kano dan padel. Sayang makanan di hari 1 dan 2 kurang lengkap dan kurang mematuhi protokol kesehatan. Tapi begitu hari ke 3 mulai ada perbaikan. So far menyenangkan berlibur di Melia Bali.",Positive
67,Siti,Des 2020,5.0,Overall Ok di Melia,"Kamar luas, bersih, fasilitas kolam renang OK banget. Lokasi sangat bagus, kami bisa bersepeda di pinggir pantai. Staff sgt ramah. Kebutuhan kami dapat terpenuhi dengan baik. Cuma pilihan menu makanan krg lengkap, mungkin karena pandemi ya. Overall ok banget",Positive
68,Gayus W,Des 2020,5.0,Seluruh staf ramah dan mendapatkan layanan seperti keluarga sendiri,"Seluruh staf ramah, mulai dari kedatangan di lobi, makan pagi tepi pantai sampai check out. Kami mendapatkan layanan seperti keluarga sendiri, terutama ada bule Prancis yang bantuin fotoin kita. Dan ada lagi Mr. Sumartha. kocak, baik hati, dan suka kasih 'surprise' dengan kalimat 'tidak bisa check out sampai jam 1 siang (dengan wajah murung), namun bisa check out nanti jam 2siang. Kudoakan semua sehat yang bekerja di Melia Bali Nusa Dua, luar biasa. suksma. ",Positive
